HowlWater +Hidden, HardRock, DoubleTime, NightCore on 1/2/2016 11:54:01 PM
Count 300: 258
Count 100: 93
Count 50: 9
Count Geki: 15
Count Katu: 40
Count Miss: 0
Total Score: 4692634
Max Combo: 526
Is fullcombo: False
Mods: Hidden, HardRock, DoubleTime, NightCore
0(0): (76.15625,159.1489) None 0
31(31): (72.92709,169.5493) None 0
56(25): (71.42969,175.1084) None 5.75723782959358
78(22): (70.20573,181.7441) None 6.74763270249926
106(28): (71.28646,185.7944) None 4.19201422511018
131(25): (75.51823,184.022) None 4.5879453736837
154(23): (85.97396,171.7319) None 16.1359517592951
181(27): (93.13541,157.2227) None 16.1803343117063
205(24): (98.22656,146.4414) None 11.9229278322697
229(24): (104.9063,133.1846) None 14.8445891997649
9220(8991): (125.5703,92.17627) None 45.9204080681556
9225(5): (125.7917,91.80273) None 0.434228510930623
9250(25): (130.974,85.18896) None 8.40227035079903
9277(27): (135.2969,80.99951) None 6.01988157007529
9301(24): (138.2135,78.56055) None 3.80198350606848
9325(24): (140.0365,77.91602) None 1.93358024825153
9352(27): (142.3151,77.8208) None 2.28058377612078
9376(24): (145.2057,77.43262) None 2.91655810475983
9400(24): (150.3099,76.07031) None 5.28287373309656
9428(28): (157.0156,75.23535) None 6.75747125127839
9449(21): (161.9375,75.23535) None 4.92190551757813
9475(26): (174.8281,75.61621) None 12.896219600091
9502(27): (185.4141,76.70752) None 10.6421012696329
9527(25): (195.0365,77.58643) None 9.66246277866005
9550(23): (206.612,79.4541) None 11.7252034472607
9577(27): (223.7865,86.27295) None 18.4786394747334
9601(24): (231.4948,91.42188) None 9.26980955326192
9625(24): (238.1615,98.06494) None 9.41143714192208
9652(27): (242.7708,102.7598) None 6.57931358081649
9676(24): (244.8932,103.6387) None 2.29718741921728
9700(24): (251.2995,100.2549) None 7.24505053530164
9727(27): (257.875,96.76855) None 7.44257012452776
9752(25): (263.5651,94.65186) None 6.07103950312557
9775(23): (270.6354,93.89746) None 7.11044594013915
9802(27): (279.3594,94.54199) None 8.74777568832015
9826(24): (283.0313,94.73242) K2 3.67684016458453
9851(25): (287.0677,94.73242) K2 4.036376953125
9872(21): (289.3333,94.73242) None 2.265625
9877(5): (289.776,95.01807) None 0.52684480940931
9901(24): (291.4688,96.24854) None 2.09276802697386
9924(23): (291.9505,98.50439) None 2.30669837774586
9952(28): (289.8932,100.8042) None 3.08572024112719
9976(24): (287.6667,102.5986) None 2.85957884534182
10000(24): (285.1537,104.1807) None 2.96954737186046
10027(27): (283.5,104.7739) None 1.75686259246843
10051(24): (282.7838,105.0669) None 0.773803403426743
10075(24): (280.6354,105.9385) None 2.31847674090609
10079(4): (280.6354,105.9385) K2 0
10103(24): (275.375,109.564) K2 6.38875202229924
10126(23): (272.1458,112.2373) K2 4.19215337593428
10139(13): (269.4375,114.8081) None 3.73416334663717
10150(11): (268.1875,115.8555) None 1.63081260475962
10177(27): (266.4948,116.7271) None 1.90391030820127
10201(24): (265.388,117.0054) None 1.14126484714771
10225(24): (262.6406,117.7598) None 2.84909852076359
10253(28): (257.9401,119.1514) None 4.90216671636004
10269(16): (256.625,119.4956) K2 1.35939175584571
10276(7): (254.5547,120.1987) K2 2.18643162404094
10300(24): (250.8438,121.2241) K2 3.84997041706852
10328(28): (246.7943,122.4985) K2 4.24529605637937
10329(1): (246.4167,122.5864) None 0.387691460849741
10351(22): (244.5677,123.187) None 1.9440961965057
10375(24): (238.6042,125.9043) None 6.55340105922363
10402(27): (234.3333,128.9731) None 5.25910359057893
10427(25): (230.6875,131.9468) None 4.70475251038341
